Long,Lat,Date,BirdID,Fix
-77.9415,18.0441,2/7/17,46,280
-77.9379,18.0418,2/7/17,208,281
-77.9402,18.0436,2/7/17,146,282
-77.9424,18.0416,2/7/17,194,283
-77.9438,18.0411,2/7/17,174,284
-77.9429,18.0441,2/7/17,128,285
-77.9416,18.044,2/7/17,46,286
-77.9416,18.0437,2/7/17,153,287
-77.9434,18.0468,2/7/17,54,288
-77.939,18.0432,2/7/17,146,289
-77.9407,18.0404,2/7/17,208,290
-77.9422,18.0408,2/7/17,194,291
-77.944,18.0401,2/7/17,174,292
-77.9428,18.044,2/7/17,128,293
-77.943,18.0461,2/7/17,54,294
-77.9414,18.0442,2/7/17,46,295
-77.9405,18.0435,2/7/17,146,296
-77.9417,18.0408,2/7/17,208,297
-77.943,18.0462,2/7/17,54,298
-77.9436,18.0402,2/7/17,174,299
-77.936,18.0391,2/8/17,169,300
-77.9314,18.0418,2/8/17,89,301
-77.9347,18.0352,2/8/17,114,302
-77.9349,18.0347,2/8/17,114,304
-77.9362,18.0373,2/8/17,169,305
-77.9315,18.0417,2/8/17,89,306
-77.9357,18.0329,2/8/17,302,307
-77.9425,18.0434,2/8/17,128,308
-77.9426,18.046,2/8/17,54,309
-77.9416,18.0464,2/8/17,153,310
-77.9428,18.0419,2/8/17,194,312
-77.9395,18.0427,2/8/17,146,313
-77.9402,18.0403,2/8/17,208,314
-77.9415,18.0405,2/8/17,338,315
-77.9425,18.0467,2/8/17,153,316
-77.9317,18.0412,2/8/17,89,317
-77.9361,18.0379,2/8/17,114,318
-77.9363,18.0398,2/8/17,169,319
-77.9358,18.0336,2/8/17,302,320
-77.9427,18.043,2/8/17,128,323
-77.9416,18.0442,2/8/17,46,324
-77.9425,18.0449,2/8/17,153,325
-77.9434,18.0467,2/8/17,54,326
-77.9406,18.0405,2/8/17,338,328
-77.9405,18.0405,2/8/17,208,329
-77.9417,18.0417,2/8/17,194,330
-77.944,18.0415,2/8/17,174,331
-77.9436,18.0425,2/8/17,128,332
-77.9351,18.0333,2/9/17,302,336
-77.9355,18.0383,2/9/17,169,337
-77.9365,18.0375,2/9/17,114,338
-77.9321,18.0406,2/9/17,89,339
-77.9412,18.0431,2/9/17,146,340
-77.9415,18.0442,2/9/17,46,341
-77.9429,18.0443,2/9/17,153,342
-77.9434,18.0469,2/9/17,54,343
-77.942,18.0407,2/9/17,194,344
-77.94,18.0402,2/9/17,208,345
-77.9442,18.042,2/9/17,174,346
-77.9435,18.0418,2/9/17,128,347
-77.9428,18.0445,2/9/17,153,348
-77.943,18.0461,2/9/17,54,349
-77.94,18.0432,2/9/17,146,350
-77.9402,18.0403,2/9/17,208,351
-77.9359,18.0383,2/10/17,169,352
-77.9357,18.0373,2/10/17,114,353
-77.9325,18.0411,2/10/17,89,354
-77.935,18.0328,2/10/17,302,355
-77.9356,18.0369,2/10/17,114,356
-77.9418,18.0416,2/11/17,194,359
-77.9424,18.0443,2/11/17,153,360
-77.9405,18.0444,2/11/17,46,361
-77.9429,18.0452,2/11/17,54,362
-77.9391,18.0422,2/11/17,146,363
-77.9402,18.0405,2/11/17,208,364
-77.9404,18.0402,2/11/17,338,365
-77.9395,18.0423,2/11/17,146,366
-77.9428,18.0413,2/11/17,128,367
-77.943,18.0415,2/11/17,174,368
-77.9356,18.0368,2/13/17,114,369
-77.9316,18.0418,2/13/17,89,370
-77.9354,18.039,2/13/17,169,371
-77.9344,18.0332,2/13/17,302,372
-77.9354,18.036,2/13/17,114,373
-77.9331,18.0421,2/13/17,89,374
-77.9359,18.0391,2/13/17,169,375
-77.937,18.0339,2/13/17,302,376
-77.9354,18.0353,2/13/17,114,377
-77.9427,18.0451,2/10/17,153,378
-77.9425,18.045,2/10/17,54,379
-77.9412,18.0447,2/10/17,46,380
-77.9395,18.0428,2/10/17,146,381
-77.9404,18.0402,2/10/17,208,382
-77.9413,18.0412,2/10/17,194,383
-77.9428,18.0416,2/10/17,174,384
-77.9425,18.043,2/13/17,128,387
-77.9417,18.0442,2/13/17,46,388
-77.942,18.0456,2/13/17,153,389
-77.9421,18.047,2/13/17,54,390
-77.9398,18.0435,2/13/17,146,391
-77.9382,18.0417,2/13/17,208,392
-77.9425,18.0415,2/13/17,194,393
-77.942,18.0465,2/13/17,153,394
-77.9432,18.0458,2/13/17,54,395
-77.9386,18.0425,2/13/17,146,396
-77.9402,18.0403,2/13/17,208,397
-77.9439,18.0415,2/13/17,174,398
-77.9441,18.042,2/13/17,128,399
-77.9414,18.0409,2/14/17,338,400
-77.9395,18.043,2/14/17,146,401
-77.9387,18.0417,2/14/17,208,402
-77.9415,18.0442,2/14/17,46,403
